,Unnamed: 0,Number,Name,Start,End,Url,Reactor
486,486,2.0,Chooz,14/02/2012,27/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-221,Chooz_2
487,487,3.0,Paluel,18/05/2012,10/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-330,Paluel_3
488,488,3.0,Tricastin,27/04/2012,08/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-troisieme-visite-decennale-du-reacteur-n-33,Tricastin_3
489,489,1.0,Dampierre-en-Burly,12/07/2012,28/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-132,Dampierre-en-Burly_1
490,490,1.0,Cruas-Meysse,25/05/2012,17/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-125,Cruas-Meysse_1
491,491,4.0,Cruas-Meysse,23/03/2012,30/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-416,Cruas-Meysse_4
492,492,1.0,Chinon,13/07/2012,20/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-b13,Chinon_1
493,493,4.0,Blayais,19/06/2012,05/08/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-43,Blayais_4
494,494,2.0,Penly,05/04/2012,31/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-partielle-du-reacteur-n-23,Penly_2
495,495,1.0,Golfech,23/03/2012,21/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-decennale-du-reacteur-n-15,Golfech_1
496,496,4.0,Chinon,04/05/2012,18/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-b42,Chinon_4
497,497,1.0,Blayais,01/03/2012,19/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-n-1,Blayais_1
